Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Presencia,,revista de la sociedad cultural israelita B'ne Jisroel,Irene Bronfman,Español,Chile,Santiago de Chile,Avda. Portugal 810,Sociedad Cultural Israelita B'ne Jisroel,Revista,march 1979,03,XX,1979,,1982,XX,XX,1982,,bimonthly,general,continuacion del titulo: Boletín informativo de la Sociedad Cultural Israelita B'ne Jisroel.,NYPL; HUC; LoC; Harvard; NLI;  IAI; Bibl Nac Chile; 
Reflejos de Israel,,,Isaias Wassermann,Español,Chile,Santiago de Chile,San Sebastian 2812,Embajada de Israel,Revista,1994,XX,XX,1994,,,,,,/,,sionista,Archivo Histórico del Judaísmo Chileno,UCLA; LoC; HUC; NLI; Bibl Nac Chile
Religión y cultura,,,,Español,Chile,Santiago de Chile,, Universidad de Chile. Centro de Estudios de Cultura Judaica,,1995,XX,XX,1995,,2007,XX,XX,2007,,,,,Bib Nac Chile
Renacimiento : revista mensual israelita,,,Director Arturo Davis S. y secretario de redaccion Mauricio Weinstein,Español,Chile,Santiago de Chile,,Colectividad Israelita,Revista,March 1919,03,XX,1919,,1920,XX,XX,1920,,monthly,sionista,fuente: Moshe Nes El,NYPL; Bibl Nac Chile
Revista Shalom,,,,Español,Chile,,,,Revista,,,,,,,,,,,,,,
Revista WIZO,,,,Español,Chile,Santiago de Chile,Serrano 202,Federación WIZO de Chile,Revista,1970s,XX,XX,197X,,july/september 1984,09,XX,1984,,,mujeres,,"Harvard; UCLA, Bib Nac Chile"
Shalom,,,Rafael Gorodischer - director,Español,Chile,Santiago de Chile,Serrano 202,Federación Universitaria Sionista de Sudamérica,Revista,octubre 1960,10,XX,1960,,,,,,/,,sionista ,,Harvard; NLI
Shalom,,,Andrés Adler - ed; Isaac Ergas - director,Español,Chile,Santiago de Chile,Mar Jonico 8860,Comunidad judia de Chile,Revista,april 2002,04,XX,2002,,,,,,/,,comunitario,,Harvard; Bib Nac Chile
Shalom Israel : boletín informativo,,Boletín informativo de la Embajada de Israel,,Español,Chile,Santiago de Chile,,,,august 1990,08,XX,1990,,,,,,/,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
"Si, Periódico del Frente de Izquierda Sionista ",,,,Español,Chile,,,,,,,,,,,,,,,,,,
