Titulo Original,Transliteración,Titulo en Portugués,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Infosurj,,Boletim oficial da Organização Sionista Unificada do Rio de Janeiro,,Portugués,Brasil,Rio de janeiro ,,Organização Sionista Unificada do Rio de Janeiro,,1900s,XX,XX,19XX,,,,,,/,,sionismo,,Harvard; NLI
Integração : informativo da Confederação Israelita do Brasil,,,Abrão Lowenthal & Levi Kaufman - directores,Portugués,Brasil,São Paulo,"Rua da Consolação, 2223",Confederação Israelita do Brasil,Boletin,mayo 1992,05,XX,1992,,,,,,/,,comunitaria,,Harvard; Center for Jewish History CJH (NY); NLI;  Bib. Nac. Brasil
Intercambio : boletim informativo do Centro Cultural Brasil - Israel,,,,Portugués,Brasil,São Paulo,,Centro Cultural Brasil - Israel,Boletin,,,,,,,,,,,,,,Harvard
Israel ; a jovem terra milenar,,,,Portugués,Brasil,,,,Revista,,,,,,,,,,,,,,Harvard
"Israel : revista de atualidades culturais, empresariais e científicas",,,Helio Daniel Cordeiro - editor,Portugués,Brasil,São Paulo,"Rua Prates , 39",Eretz Press Editorial Ltda.,Revista,junio/julio 1992,06-07,XX,1992,~,,,,,/,,cultural,,NLI
Israel em foco : informativo do Fundo Comunitário FISESP-FIERJ,,,,Portugués,Brasil,São Paulo,,Fundo Comunitário FISESP-FIERJ,Boletin,1992?,XX,XX,1992,?,,,,,/,,,,Harvard
Israel news : amigos de Israel ,,,,Portugués,Brasil,Rio de janeiro ,,Consulado Geral de Israel ,,1986,XX,XX,1986,,,,,,/,,sionismo,,Bib. Nac. Brasil
Israelidades ,,,,Portugués,Brasil,Rio de janeiro ,,Consulado Geral de Israel ,,1985?,XX,XX,1985,?,,,,,/,monthly,sionismo,,Bib. Nac. Brasil
Itonenu,עתוננו,,,Portugués,Brasil,Rio de janeiro ,,Conselho dos professores em prol  do Kéren Kaiémet Leisrael,Boletin,1950s,XX,XX,195X,,,,,,/,,sionismo,,Harvard
Jornal da Hebraica,,,Bernardo Lerer - editor; Samuel Szwarc - director,Portugués,Brasil,São Paulo,"R. Hungria, 1000",Associação Brasileira “A Hebraica” de São Paulo,Boletin,1968?,XX,XX,1968,?,,,,,/,,deportivo,,NLI
"
Jornal do Peretz",,,,Portugués,Brasil,São Paulo,,Núcleo de Comunicação de Colégio I.L. Peretz,Revista,199?,XX,XX,199X,,,,,,/,,escolar,,Harvard; HUC; Univ Texas
Jornal israelita ,,,Arnaldo Sampaio - director,Portugués,Brasil,Rio de janeiro ,"Rua da Alfandega, 143",Coletividade Israelita Brasileira,Diario,1945,XX,XX,1945,,,,,,/,weekly,general,,Harvard; HUC; LoC; NLI
Jornal Israelita do Paraná,,A serviço da comunidade,Ben Ami Saltz - editor,Portugués,Brasil,Curitiba,"Av. Candido de Abreu, 427",Jornal Israelita do Paraná,Diario,1995,XX,XX,1995,,,,,,/,monthly,general,,Harvard; NLI; Bib. Nac. Brasil
Jornalik,,,,Portugués,Brasil,São Paulo,,Escola Brasileira Israelita Chaim Nachman Bialik,,,,,,,,,,,,,educación,,Utexas
